id,grid_solution,steps
test-3x3-001,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""turtle""], [""2"", ""Mallory"", ""blue"", ""cat""], [""3"", ""Alice"", ""green"", ""dog""]]}",5
test-3x3-002,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""blue"", ""dog""], [""2"", ""Niaj"", ""red"", ""fish""], [""3"", """", ""orange"", ""bird""]]}",6
test-3x3-003,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""purple"", ""hamster""], [""2"", """", ""orange"", ""rabbit""], [""3"", ""Mallory"", ""green"", ""cat""]]}",5
test-3x3-004,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""white"", ""cat""], [""2"", ""Ivan"", ""red"", ""rabbit""], [""3"", ""Heidi"", ""orange"", ""turtle""]]}",6
test-3x3-005,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""blue"", ""fish""], [""2"", ""Mallory"", ""green"", ""turtle""], [""3"", """", ""white"", ""cat""]]}",7
test-3x3-006,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""white"", ""cat""], [""2"", """", ""purple"", ""dog""], [""3"", ""Grace"", ""yellow"", ""rabbit""]]}",6
test-3x3-007,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""red"", ""cat""], [""2"", ""Bob"", ""yellow"", ""dog""], [""3"", ""Heidi"", ""blue"", ""turtle""]]}",6
test-3x3-008,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""yellow"", ""fish""], [""2"", ""Grace"", ""blue"", ""hamster""], [""3"", ""Eve"", ""white"", ""rabbit""]]}",6
test-3x3-009,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""white"", ""rabbit""], [""2"", ""Bob"", ""purple"", ""bird""], [""3"", ""Judy"", ""orange"", ""fish""]]}",6
test-3x3-010,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""red"", ""rabbit""], [""2"", ""Ivan"", ""orange"", ""dog""], [""3"", ""Mallory"", ""green"", ""bird""]]}",6
test-3x3-011,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""blue"", ""cat""], [""2"", """", ""red"", ""fish""], [""3"", ""Niaj"", ""purple"", ""turtle""]]}",6
test-3x3-012,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""blue"", ""dog""], [""2"", ""Niaj"", ""yellow"", ""bird""], [""3"", """", ""orange"", ""turtle""]]}",6
test-3x3-013,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""orange"", ""bird""], [""2"", ""Grace"", ""blue"", ""dog""], [""3"", ""Bob"", ""purple"", ""rabbit""]]}",6
test-3x3-014,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""blue"", ""rabbit""], [""2"", ""Ivan"", ""red"", ""fish""], [""3"", """", ""orange"", ""turtle""]]}",7
test-3x3-015,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""orange"", ""hamster""], [""2"", ""Niaj"", ""purple"", ""fish""], [""3"", """", ""white"", ""bird""]]}",6
test-3x3-016,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""hamster""], [""2"", ""Mallory"", ""blue"", ""cat""], [""3"", ""Grace"", ""yellow"", ""dog""]]}",6
test-3x3-017,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""red"", ""cat""], [""2"", ""Mallory"", ""white"", ""rabbit""], [""3"", """", ""orange"", ""hamster""]]}",6
test-3x3-018,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""yellow"", ""bird""], [""2"", """", ""green"", ""turtle""], [""3"", ""Carol"", ""purple"", ""rabbit""]]}",6
test-3x3-019,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""hamster""], [""2"", ""Grace"", ""yellow"", ""fish""], [""3"", """", ""green"", ""cat""]]}",7
test-3x3-020,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""green"", ""turtle""], [""2"", ""Bob"", ""purple"", ""hamster""], [""3"", """", ""yellow"", ""rabbit""]]}",5
test-3x3-021,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Judy"", ""red"", ""cat""], [""2"", """", ""blue"", ""bird""], [""3"", ""Eve"", ""purple"", ""turtle""]]}",5
test-3x3-022,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""bird""], [""2"", ""Judy"", ""green"", ""dog""], [""3"", """", ""white"", ""cat""]]}",6
test-3x3-023,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""white"", ""dog""], [""2"", ""Eve"", ""blue"", ""rabbit""], [""3"", ""David"", ""orange"", ""hamster""]]}",6
test-3x3-024,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""blue"", ""rabbit""], [""2"", """", ""red"", ""cat""], [""3"", ""Judy"", ""orange"", ""fish""]]}",6
test-3x3-025,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""red"", ""dog""], [""2"", ""Ivan"", ""blue"", ""bird""], [""3"", ""Heidi"", ""orange"", ""hamster""]]}",6
test-3x3-026,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""green"", ""dog""], [""2"", ""Bob"", ""red"", ""cat""], [""3"", """", ""yellow"", ""rabbit""]]}",6
test-3x3-027,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""white"", ""hamster""], [""2"", ""Ivan"", ""purple"", ""bird""], [""3"", ""Niaj"", ""yellow"", ""cat""]]}",7
test-3x3-028,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""yellow"", ""rabbit""], [""2"", ""Heidi"", ""purple"", ""dog""], [""3"", ""Frank"", ""orange"", ""bird""]]}",6
test-3x3-029,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""orange"", ""dog""], [""2"", ""Ivan"", ""purple"", ""cat""], [""3"", ""Grace"", ""green"", ""turtle""]]}",6
test-3x3-030,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""turtle""], [""2"", """", ""yellow"", ""bird""], [""3"", ""Grace"", ""green"", ""fish""]]}",7
test-3x3-031,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""green"", ""bird""], [""2"", ""Grace"", ""white"", ""fish""], [""3"", ""Niaj"", ""purple"", ""rabbit""]]}",6
test-3x3-032,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""yellow"", ""fish""], [""2"", ""Frank"", ""green"", ""dog""], [""3"", """", ""orange"", ""rabbit""]]}",6
test-3x3-033,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""red"", ""bird""], [""2"", ""Heidi"", ""blue"", ""rabbit""], [""3"", """", ""green"", ""fish""]]}",6
test-3x3-034,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""blue"", ""cat""], [""2"", ""Carol"", ""red"", ""fish""], [""3"", ""Bob"", ""green"", ""turtle""]]}",6
test-3x3-035,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""red"", ""cat""], [""2"", ""Bob"", ""purple"", ""turtle""], [""3"", ""Heidi"", ""blue"", ""dog""]]}",6
test-3x3-036,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""purple"", ""bird""], [""2"", """", ""white"", ""rabbit""], [""3"", ""Ivan"", ""orange"", ""dog""]]}",6
test-3x3-037,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""purple"", ""dog""], [""2"", """", ""yellow"", ""turtle""], [""3"", ""Alice"", ""orange"", ""cat""]]}",6
test-3x3-038,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""purple"", ""fish""], [""2"", """", ""blue"", ""bird""], [""3"", ""Frank"", ""orange"", ""hamster""]]}",5
test-3x3-039,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""orange"", ""dog""], [""2"", """", ""white"", ""bird""], [""3"", ""Judy"", ""yellow"", ""hamster""]]}",7
test-3x3-040,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""orange"", ""fish""], [""2"", ""Mallory"", ""white"", ""rabbit""], [""3"", ""Bob"", ""yellow"", ""hamster""]]}",5
test-3x3-041,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""yellow"", ""cat""], [""2"", """", ""blue"", ""dog""], [""3"", ""Judy"", ""purple"", ""fish""]]}",6
test-3x3-042,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""purple"", ""bird""], [""2"", """", ""red"", ""fish""], [""3"", ""Grace"", ""green"", ""hamster""]]}",6
test-3x3-043,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""orange"", ""bird""], [""2"", ""Carol"", ""yellow"", ""cat""], [""3"", """", ""red"", ""hamster""]]}",6
test-3x3-044,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""hamster""], [""2"", ""Carol"", ""yellow"", ""turtle""], [""3"", ""Eve"", ""green"", ""dog""]]}",6
test-3x3-045,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""purple"", ""turtle""], [""2"", ""Bob"", ""green"", ""rabbit""], [""3"", ""Alice"", ""white"", ""fish""]]}",6
test-3x3-046,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""fish""], [""2"", ""Frank"", ""purple"", ""rabbit""], [""3"", """", ""white"", ""turtle""]]}",6
test-3x3-047,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""red"", ""dog""], [""2"", ""Carol"", ""blue"", ""cat""], [""3"", ""Bob"", ""green"", ""turtle""]]}",6
test-3x3-048,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Judy"", ""white"", ""bird""], [""2"", ""Grace"", ""green"", ""dog""], [""3"", ""Bob"", ""purple"", ""turtle""]]}",6
test-3x3-049,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""green"", ""bird""], [""2"", ""Bob"", ""orange"", ""fish""], [""3"", ""Alice"", ""blue"", ""hamster""]]}",6
test-3x3-050,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""blue"", ""bird""], [""2"", ""Carol"", ""red"", ""rabbit""], [""3"", ""Niaj"", ""orange"", ""dog""]]}",6
test-3x3-051,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""purple"", ""cat""], [""2"", ""Carol"", ""white"", ""bird""], [""3"", ""Bob"", ""yellow"", ""fish""]]}",7
test-3x3-052,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""orange"", ""bird""], [""2"", ""Carol"", ""green"", ""rabbit""], [""3"", ""Judy"", ""purple"", ""fish""]]}",5
test-3x3-053,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""white"", ""rabbit""], [""2"", """", ""orange"", ""hamster""], [""3"", ""Judy"", ""blue"", ""bird""]]}",6
test-3x3-054,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""white"", ""cat""], [""2"", """", ""purple"", ""fish""], [""3"", ""Alice"", ""yellow"", ""turtle""]]}",6
test-3x3-055,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""white"", ""bird""], [""2"", ""Bob"", ""blue"", ""cat""], [""3"", ""Grace"", ""purple"", ""rabbit""]]}",6
test-3x3-056,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""orange"", ""fish""], [""2"", """", ""white"", ""hamster""], [""3"", """", ""red"", ""bird""]]}",7
test-3x3-057,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""purple"", ""cat""], [""2"", ""Frank"", ""blue"", ""fish""], [""3"", ""Heidi"", ""yellow"", ""hamster""]]}",5
test-3x3-058,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""cat""], [""2"", ""Frank"", ""yellow"", ""hamster""], [""3"", ""Eve"", ""blue"", ""rabbit""]]}",6
test-3x3-059,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""red"", ""dog""], [""2"", ""Eve"", ""white"", ""fish""], [""3"", ""Mallory"", ""blue"", ""turtle""]]}",6
test-3x3-060,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""red"", ""bird""], [""2"", ""Niaj"", ""green"", ""turtle""], [""3"", """", ""orange"", ""rabbit""]]}",6
test-3x3-061,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""blue"", ""turtle""], [""2"", """", ""red"", ""rabbit""], [""3"", ""Ivan"", ""orange"", ""bird""]]}",7
test-3x3-062,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""purple"", ""hamster""], [""2"", """", ""orange"", ""dog""], [""3"", ""Heidi"", ""green"", ""fish""]]}",6
test-3x3-063,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""blue"", ""hamster""], [""2"", ""Grace"", ""yellow"", ""rabbit""], [""3"", ""Mallory"", ""orange"", ""turtle""]]}",6
test-3x3-064,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""red"", ""fish""], [""2"", """", ""orange"", ""hamster""], [""3"", ""David"", ""green"", ""dog""]]}",6
test-3x3-065,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""purple"", ""hamster""], [""2"", ""Niaj"", ""yellow"", ""bird""], [""3"", """", ""red"", ""rabbit""]]}",6
test-3x3-066,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""orange"", ""bird""], [""2"", """", ""green"", ""dog""], [""3"", ""Bob"", ""purple"", ""hamster""]]}",6
test-3x3-067,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""orange"", ""hamster""], [""2"", ""Bob"", ""blue"", ""fish""], [""3"", ""Frank"", ""green"", ""dog""]]}",6
test-3x3-068,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""orange"", ""dog""], [""2"", ""Bob"", ""red"", ""hamster""], [""3"", ""Ivan"", ""white"", ""turtle""]]}",6
test-3x3-069,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""red"", ""fish""], [""2"", ""Eve"", ""yellow"", ""hamster""], [""3"", ""Grace"", ""blue"", ""cat""]]}",6
test-3x3-070,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""white"", ""bird""], [""2"", ""Mallory"", ""purple"", ""dog""], [""3"", ""Bob"", ""red"", ""cat""]]}",5
test-3x3-071,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""orange"", ""turtle""], [""2"", ""Judy"", ""yellow"", ""bird""], [""3"", """", ""red"", ""fish""]]}",6
test-3x3-072,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""yellow"", ""fish""], [""2"", """", ""white"", ""cat""], [""3"", """", ""red"", ""rabbit""]]}",6
test-3x3-073,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""green"", ""rabbit""], [""2"", ""Judy"", ""blue"", ""cat""], [""3"", """", ""orange"", ""fish""]]}",6
test-3x3-074,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""blue"", ""rabbit""], [""2"", ""Mallory"", ""green"", ""bird""], [""3"", """", ""orange"", ""cat""]]}",6
test-3x3-075,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""blue"", ""cat""], [""2"", ""Grace"", ""red"", ""rabbit""], [""3"", ""Bob"", ""white"", ""fish""]]}",6
test-3x3-076,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""bird""], [""2"", ""Frank"", ""red"", ""dog""], [""3"", ""Eve"", ""white"", ""turtle""]]}",6
test-3x3-077,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Judy"", ""green"", ""bird""], [""2"", ""Eve"", ""red"", ""turtle""], [""3"", ""Bob"", ""purple"", ""cat""]]}",6
test-3x3-078,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""green"", ""hamster""], [""2"", ""Carol"", ""white"", ""fish""], [""3"", ""Heidi"", ""orange"", ""cat""]]}",7
test-3x3-079,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Judy"", ""orange"", ""dog""], [""2"", """", ""yellow"", ""fish""], [""3"", """", ""purple"", ""turtle""]]}",7
test-3x3-080,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""white"", ""fish""], [""2"", ""Judy"", ""orange"", ""dog""], [""3"", """", ""green"", ""turtle""]]}",5
test-3x3-081,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""yellow"", ""bird""], [""2"", ""Grace"", ""orange"", ""hamster""], [""3"", ""Niaj"", ""red"", ""fish""]]}",6
test-3x3-082,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""red"", ""rabbit""], [""2"", """", ""green"", ""bird""], [""3"", ""Eve"", ""blue"", ""turtle""]]}",6
test-3x3-083,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""yellow"", ""dog""], [""2"", """", ""orange"", ""fish""], [""3"", ""Frank"", ""green"", ""rabbit""]]}",6
test-3x3-084,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""orange"", ""rabbit""], [""2"", """", ""white"", ""cat""], [""3"", ""David"", ""purple"", ""hamster""]]}",6
test-3x3-085,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""bird""], [""2"", """", ""white"", ""cat""], [""3"", """", ""orange"", ""fish""]]}",7
test-3x3-086,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""orange"", ""bird""], [""2"", ""Frank"", ""purple"", ""turtle""], [""3"", ""Ivan"", ""blue"", ""cat""]]}",6
test-3x3-087,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""blue"", ""rabbit""], [""2"", """", ""yellow"", ""cat""], [""3"", ""Alice"", ""red"", ""hamster""]]}",6
test-3x3-088,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""purple"", ""bird""], [""2"", """", ""orange"", ""fish""], [""3"", ""Judy"", ""green"", ""hamster""]]}",6
test-3x3-089,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""orange"", ""rabbit""], [""2"", ""Bob"", ""green"", ""fish""], [""3"", """", ""yellow"", ""dog""]]}",6
test-3x3-090,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""orange"", ""dog""], [""2"", ""Bob"", ""purple"", ""cat""], [""3"", ""Eve"", ""white"", ""bird""]]}",6
test-3x3-091,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""orange"", ""hamster""], [""2"", ""Eve"", ""white"", ""cat""], [""3"", """", ""red"", ""dog""]]}",5
test-3x3-092,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""yellow"", ""cat""], [""2"", ""Eve"", ""white"", ""fish""], [""3"", ""Alice"", ""green"", ""rabbit""]]}",6
test-3x3-093,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""green"", ""hamster""], [""2"", ""Eve"", ""white"", ""bird""], [""3"", ""Ivan"", ""purple"", ""turtle""]]}",6
test-3x3-094,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""green"", ""fish""], [""2"", ""Carol"", ""white"", ""rabbit""], [""3"", ""Frank"", ""red"", ""cat""]]}",6
test-3x3-095,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""red"", ""fish""], [""2"", ""Niaj"", ""white"", ""cat""], [""3"", ""Judy"", ""purple"", ""bird""]]}",6
test-3x3-096,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""yellow"", ""dog""], [""2"", ""Grace"", ""purple"", ""fish""], [""3"", ""Niaj"", ""blue"", ""hamster""]]}",6
test-3x3-097,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""turtle""], [""2"", ""David"", ""green"", ""fish""], [""3"", """", ""yellow"", ""rabbit""]]}",6
test-3x3-098,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""orange"", ""bird""], [""2"", """", ""purple"", ""cat""], [""3"", ""Niaj"", ""red"", ""hamster""]]}",6
test-3x3-099,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""yellow"", ""rabbit""], [""2"", ""Judy"", ""red"", ""dog""], [""3"", ""Heidi"", ""blue"", ""turtle""]]}",6
test-3x3-100,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""green"", ""fish""], [""2"", ""Bob"", ""orange"", ""rabbit""], [""3"", """", ""purple"", ""dog""]]}",6
